Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
force,N,"['2', '1']",may the force be with you ,the forces of evil ,T
section,N,"['1', '7']",a section of a fishing rod ,she got a job in the historical section of the treasury ,F
play,V,"['0', '0']",play safe ,play it safe ,T
book,N,"['1', '4']",the book of isaiah ,genesis is the first book of the bible ,T
follow,V,"['2', '3']",can you follow her argument ,a terrible tsunami followed the earthquake ,F
academy,N,"['2', '0']",a riding academy ,academies of literature and philology ,F
appearance,N,"['5', '4']",the rookie made a brief appearance in the first period ,david beckham s first appearance with the la galaxy at giants stadium against the new york red bulls last night drew a crowd of 66237 ,T
nomination,N,"['2', '1']",the republican nomination for governor ,his nomination was hotly protested ,F
distribute,V,"['4', '1']",the publisher wants to distribute the book in asia ,values distribute ,F
eye,N,"['5', '7']",he tried to catch her eye ,the thread would nt go through the eye ,F
performance,N,"['3', '11']",they admired his performance under stress ,when roger maris powered four home runs in one game his performance merits awe ,T
emulsion,N,"['2', '3']",an oilinwater emulsion ,mayonnaise is an emulsion where egg is used to keep oil and water mixed ,T
see,V,"['3', '3']",i want to see results ,the 1960 s saw the rebellion of the younger generation against established traditions ,T
pattern,N,"['4', '2']",they stayed in the pattern until the fog lifted ,the traffic patterns around ohare are very crowded ,T
set,V,"['0', '0']",set these words in italics ,set the tray down ,F
part,N,"['6', '6']",they resisted every effort on his part ,they analyzed the river into three parts ,F
find,V,"['0', '2']",find the product of two numbers ,water is found to be a compound substance ,T
stay,V,"['3', '9']",i had to stay at home and watch the children ,after the trial period  she was asked to stay on and work fulltime ,F
strike,V,"['1', '0']",please strike this remark from the record ,strike a pose ,F
doubt,V,"['1', '1']",i doubt these reports ,he doubted that was really what you meant ,T
consummate,V,"['0', '12']",consummate a marriage ,after the reception  he escorted her to the honeymoon suite to consummate their marriage ,T
liking,N,"['5', '3']",i ve always had a liking for reading ,she developed a liking for gin ,T
remove,V,"['0', '1']",remove a threat ,doug removed the smudges from the tabletop ,T
peace,N,"['8', '4']",our lounge strives to maintain an environment of peace for the comfort of our customers ,my boy  this peace is what all true warriors strive for ,F
connect,V,"['4', '2']",the new railroad will connect the northern part of the state to the southern part ,these computers connected well ,T
shortness,N,"['1', '3']",the shortness of a stubby pencil ,the patient s shortness of breath ,T
extension,N,"['4', '1']",they applied for an extension of the loan ,the extension of ` satellite of mars  is the set containing only demos and phobos ,F
course,N,"['3', '4']",he took a course in basket weaving ,she prepared a three course meal ,F
war,N,"['1', '2']",a war of wits ,a price war ,T
quality,N,"['9', '1']",this school is wellknown for having teachers of high quality ,the quality of students has risen ,T
use,V,"['0', '1']",use your head ,i used to get sick when i ate in that dining hall ,F
remove,V,"['0', '0']",remove a threat ,remove the dirty dishes from the table ,T
fit,V,"['12', '5']",if i lose a few kilos  the gorgeous wedding dress might fit me ,the small shirt does nt fit me  so i ll buy the medium size ,T
personification,N,"['3', '5']",she is the personification of optimism ,the grim reaper is a personification of death ,T
place,V,"['4', '1']",they phoned hoping to place her in the management team ,i placed ten dollars on the lakers beating the bulls ,F
sentence,N,"['5', '1']",the judge leniently granted a sentence with no hard time     he is not living at home because he is doing time ,his sentence was 5 to 10 years ,T
seat,N,"['11', '4']",he sat on the arm of the chair rather than the seat  which always annoyed his mother ,there were not enough seats for all the guests ,T
post,N,"['5', '7']",it came by the first post ,if you hurry you ll catch the post ,T
day,N,"['2', '7']",in the day of the dinosaurs ,he was a successful pianist in his day ,T
range,N,"['7', '7']",the plains lay just beyond the mountain range ,he dreamed of a home on the range ,F
life,N,"['2', '1']",he got life for killing the guard ,city life ,F
follow,V,"['2', '4']",let s follow our great helmsman ,the police had been following him for weeks but they could not prove his involvement in the bombing ,F
club,V,"['1', '3']",to club exertions ,the two men clubbed together ,T
luck,N,"['1', '5']",bad luck caused his downfall ,i could nt believe my luck when i found a fifty dollar bill on the street ,T
strike,V,"['0', '1']",strike a medal ,she struck her head on the low ceiling ,F
give,V,"['3', '1']",what will you give her for her birthday ,she gave a pair of shoes to her husband for their anniversary ,T
breath,N,"['3', '6']",the child s breath came quickly and unevenly ,he was fighting to his last breath ,T
voice,N,"['1', '3']",the voice of experience ,the wee small voice of conscience ,T
know,V,"['1', '1']",i know that the president lied to the people ,i know it s time ,T
pull,N,"['5', '5']",iron fillings drawn by the pull of a magnet ,the spaceship came under the pull of the gas giant ,T
neck,N,"['5', '5']",the horse won by a neck ,the bottle had a wide neck ,F
spread,V,"['1', '1']",i spread the rice grains evenly over the floor ,he spread fertilizer over the lawn ,T
touch,V,"['3', '2']",the two buildings touch ,their hands touched ,T
face,N,"['2', '3']",an angry face ,why the sad face ,F
snorter,N,"['6', '5']",the maths problem is a real snorter  is nt it ,the batsman succumbed to a snorter of short balls from the bowler and nicked a thin edge to the keeper ,F
neighborhood,N,"['1', '4']",my neighborhood voted for bush ,it is a friendly neighborhood ,T
come,V,"['0', '0']",come down here ,come out of the closet ,T
ear,N,"['2', '4']",a good ear for pitch ,he had a keen ear ,T
business,N,"['7', '0']",they did nearly a million dollars of business over the long weekend ,business is good today ,T
set,V,"['3', '0']",the film is set in africa ,set the tray down ,F
worry,N,"['4', '5']",i m afflicted by worry throughout the night ,it is not work but worry that kills ,T
audience,N,"['4', '7']",every artist needs an audience ,he saw that he had lost his audience ,F
sex,N,"['2', '10']",we had sex in the back seat , the believers  those   who abstain from sex ,T
beat,V,"['1', '2']",i beat the traffic ,the drums beat all night ,F
block,V,"['0', '1']",block a garment ,i blocked the mittens by wetting them and pinning them to a shaped piece of cardboard ,T
confidence,N,"['0', '6']",confidence is always borrowed  never owned ,after that failure he lost his confidence ,F
point,N,"['2', '3']",at that point i had to leave ,a row of points ,F
shock,N,"['2', '8']",the first shock of the earthquake came shortly after noon while workers were at lunch ,the train hit the buffers with a great shock ,T
time,N,"['3', '1']",see you another time ,this time he succeeded ,T
fill,N,"['8', '3']",the mixer returned to the plant for another fill ,he ate his fill of potatoes ,F
simplify,V,"['3', '3']",this move will simplify our lives ,we had to simplify the instructions ,T
air,N,"['6', '5']",he threw the ball into the air ,her hand stopped in mid air ,T
feel,V,"['1', '1']",i feel that he does nt like me ,i felt my way cautiously through the dangerous business maneuver ,F
take,V,"['2', '0']",i ll take that plate off the table ,take these letters to the boss ,T
resistance,N,"['1', '1']",the resistance of bacteria to certain antibiotics ,widespread resistance to the new urban development plans ,T
call,N,"['6', '3']",after two raises there was a call ,the salesman s call on a customer ,F
inclination,N,"['2', '1']",the alkaline inclination of the local waters ,her inclination is for classical music ,F
throat,N,"['1', '1']",the throat of a chimney ,the throat of the vase ,T
drop,V,"['0', '3']",drop him from the republican ticket ,shop til you drop ,F
volume,N,"['7', '1']",the gas expanded to twice its original volume ,the volume of ticket sales decreased this week ,T
head,N,"['1', '1']",the head of the list ,the head of the stairs ,T
head,N,"['1', '3']",12 head of big cattle and 14 head of branded calves ,they shot 20 head of quail ,T
skin,N,"['1', '7']",your skin is the largest organ of your body ,he is so disgusting he makes my skin crawl ,T
knot,N,"['7', '2']",the saw buckled when it hit a knot ,a small knot of women listened to his sermon ,F
impact,N,"['8', '5']",our choice of concrete will have a tremendous impact on the building s mechanical performance ,the book had an important impact on my thinking ,T
ride,V,"['3', '2']",she loves to ride her new motorcycle through town ,the cab rode him downtown ,T
effect,N,"['6', '5']",the new law will come into effect on the first day of next year ,the law is still in effect ,T
head,N,"['1', '1']",200 head of cattle ,12 head of big cattle and 14 head of branded calves ,T
read,V,"['3', '3']",i ca nt read his strange behavior ,the fortune teller read his fate in the crystal ball ,T
bum,N,"['4', '9']",that mechanic s a bum  he could nt fix a yoyo ,that guy keeps interrupting the concert  throw the bum out ,T
wrestle,N,"['4', '5']",they had a fierce wrestle ,we watched his grappling and wrestling with the bully ,T
trial,N,"['6', '5']",a sample for ten days free trial ,candidates must compete in a trial of skill ,F
sound,N,"['1', '1']",the sound awakened them ,puget sound ,F
work,V,"['2', '1']",i will work hard to improve my grades ,they worked at finishing the task ,T
counterfeit,V,"['1', '1']",to counterfeit the signature of another  coins  notes  etc ,they counterfeited dollar bills ,T
